text,label,notes
"[Charania] BREAKING: Trae Young intends to sign a four-year, approximately $212 million deal to stay with the Washington Wizards, with a player option in Year 4, sources tell ESPN. The four-time NBA All-Star declined his $49M player option for a long-term commitment ahead of free agency.",Analysis,
“Why would Trae decline that player option. Is he stupid?”,Discussion Question,"Could also be interpreted as a Hot Take due to sarcastic wording, but primary purpose is asking for an explanation."
Lmaooooo,Reaction,
He does have the TikTok prankster look,Hot Take,
What is Kalshi saying will happen?,Discussion Question,
This documentary is going to be pure cinema for Knicks fans after decades of waiting for a ring,Reaction,
Generational collapse by the Spurs. Generational blunder by Fox. Absolutely wild conclusion to this game.,Reaction,
"[Fischer] Milwaukee’s decision makers are split and currently deciding between Boston’s package for Giannis Antetokounmpo (Brown, Gonzalez, limited draft capital) and Miami’s (Herro, Ware, Jaquez, multiple first-round picks).",Analysis,
"Doesn’t Miami trade make more sense? You go for a clear rebuild while getting young pieces, picks and cap space. If you take JB then you’re in a similar if not worse position that you were in with Giannis.",Analysis,
[Highlight] Arena erupts in boos as The President is shown on the jumbotron,Reaction,
Why does this guy scream ‘hyped prospect that has middling career due to ego and thinking raw talent will handle everything’,Hot Take,
"He's just a kid so I want to cut him a some slack but I've now seen enough quotes from him where if I was a GM and had him rated as tied with another prospect, I'd draft the other prospect.",Hot Take,
"Do you think Shams has both tweets (Miami, Boston) queued up ready to deploy? Kinda like championship hats and shirts?Will the unused tweet go to underserved communities around the world",Discussion Question,
Shocking he hasn't accidentally tweeted the wrong team before,Hot Take,
😭 buddy first bad game is gonna go stupid viral on twitter,Reaction,
"""Darren Collison hit one to tie a game. Jaw-dropping to have watched it live.""",Reaction,
"""Yeah I saw that too while searching. Unfortunately, it doesn't really count, as his foot was still on the ground when he caught it""",Analysis,"""Explains rule/technical detail about why the play doesn't count"""
"""thanks bro, you just unlocked a lost memory""",Reaction,
"""Devin’s was so smooth. It just looked like his normal jumper.""",Analysis,
"""Yeah the other guys started shooting once the ball hit their hands, Vassell looks like he started shooting before he even had it""",Analysis,
"""Kuroko style""",Reaction,
"""outside Wemby, our boys are well muscled""",Hot Take,
"""We used to play this game. It was called Taps""",Reaction,
"""Omg I’m an old head""",Reaction,
"""Born 2005 and I played it aswell dw old man it’s not left in the past""",Reaction,
"""He’ll yeah""",Reaction,
"""We used to call it 'air' since you could only shoot mid air""",Analysis,
"""I can confirm throughout southeast US it’s called taps, maybe yours is regional""",Analysis,
That hockey stick is taller than 80% of NBA players,Reaction,
The stick isn’t big enough for him. It doesn’t even reach his chin,Reaction,
Level 1 - Monks / Level 2 - Hockey / Level 3 - ???,Reaction,
Goalie for the French football team,Hot Take,
The footage was recorded back in 2024 during both Wemby and Bedard's rookie seasons.,Analysis,
"Ah, so the monks were level 2",Reaction,
Improv,Reaction,
"worse, long form improv",Hot Take,
Level 3 - Lana Rhoades,Reaction,
Kawhi as a mentor 🤣,Reaction,
Bro needs a hockey pole💀,Reaction,
Hold up. Bedard? And Wemby? Huh. Nice.,Reaction,
Beds still can’t even win a face-off against nba players lol he needs to train with the captain now that he’s retired,Hot Take,
This was during their rookie seasons IIRC,Analysis,
I love this Wemby,Reaction,
I'm ready for the Wemby summer activity posts.,Reaction,
"Mom, the new Wemby arc just dropped!",Reaction,
Reading is hard,Hot Take,
This is old,Analysis,
"egit ""money sitting tall yao ming"" is the first thing that comes to my mind when anyone mentions yao",Reaction,
Carti never made a song about Jordan that’s all I’ll say,Hot Take,
It’s top 15 forsure,Hot Take,
Now this right here is a good post,Reaction,
Nothing beats Wayne's Kobe Bryant or Lil B's Fuck KD for me personally,Hot Take,
"The play was originally drew up for Aldridge to get a lob off, but Lillard noticed the defender getting distracted and started spriting and clapping for the ball. Amazing play.",Analysis,
B-Roy flashbacks,Reaction,
B-Roy and Danny Granger gave me so much trouble in the NBA 2k10-14 days I'm still traumatised,Reaction,
"Two huge ""what if"" players.",Analysis,
"https://youtube.com/watch?v=Etxq8OQUZmI the exact shot, with almost the exact same scoreboard. this is some time loop glitch in the matrix type shit",Reaction,
"Not distracted, there was some communication issues between Harden and Beverly, in how to cover the action...",Analysis,
Pretty sure Mo Williams caught the confusion of the defenders and was telling Lillard to go get the ball...,Analysis,
Love how casual Lillard looks before the play. Like he's waiting for the bus lol,Reaction,
Jeremy Lin talked about how frustrated he was that he got pulled out of the game for this play...,Analysis,
And they didn't know what defense they were playing...,Analysis,
They didnt need a three though,Discussion Question,
"You're right, they could have tied, but lilliard wasn't going backdoor on parsons.",Analysis,
I remember watching that game. That dude deserved to come out.,Reaction,
That wasn’t even bad D.,Hot Take,
I like this. (It's my username),Reaction,
Kids today may not know how heavily favored Houston was in this series...,Analysis,
Nobody was really giving the blazers a chance at the time...,Analysis,
I feel like Dame doesnt get the respect he deserves...,Hot Take,
You should include how good Aldridge was...,Analysis,
bro caught the defense sagging a millimeter then took off,Reaction,
"One of the most unfairly slandered guys in the league, glad he got a chip.",Hot Take,
Thanks for beating the Pacers last year I hope the hate watch was adequate compensation,Hot Take,
"more than adequate, in fact this was the most hilarious way it could have happened",Reaction,
"KAT getting a ring could make me cry, shame he kept getting into foul trouble because the Finals MVP was his after the first two games",Reaction,
KAT is honestly one of the most likable players in the league.,Hot Take,
I lost my mom some years back. It is a hole in your heart you can’t fill ever again. But the little wins in life after they go really do feel like she’s watching over you. No doubt KAT’s momma watched over him.,Reaction,
I need to know who’s the top 6?!?!,Discussion Question,
That’s easy. Hottest players above 7th are: Sam Cassell / Popeye Jones / Joakim Noah / Jordan Walsh / Byron Mullens / Chet Holgrem,Hot Take,
Derrick White (with hair) / Derrick White (without hair),Hot Take,
I'd think Rick Fox is somewhere in the top 5.,Hot Take,
Barkley would probably say Max Strus,Hot Take,
Research and development department did what? Lmao,Reaction,
We request the full list,Discussion Question,
He’s the baby mama king for a reason,Hot Take,
Send da video,Discussion Question,
Michael Jordan did do a good job,Reaction,
It’s kinda crazy how much he’s got the MJ mannerisms...,Analysis,
NBA research and development lol..were they the ones also making dave's top ten lists,Hot Take,
I need to know who’s the top 6?!?!,Discussion Question,
5 popeye jones,Hot Take,
"Generational hate, you love to see it",Reaction,
Typical Chuck W lmao The man doesnt miss,Reaction,
"Sometimes a child come out of the factory wrong. But in most cases, terrible parents raise terrible children that will most likely grow up to be terrible adults.",Hot Take,
Chuck is the GOAT,Hot Take,
Yo momma and her cousin too!,Reaction,
the world needs MORE OGs calling out bad behavior,Hot Take,
He’s right,Reaction,
"I don't see too many people trying the 6'6 250lb pro athlete with a security detail... Chuck's right, these people are straight scum",Hot Take,
The kids: “why he say fuck me for?”,Reaction,
"Dishonor on you, dishonor on your family, dishonor on your cow...",Reaction,
"Was it wrong to hit the spurs fan? Yes. But should a Spurs fan be allowed to walk in NYC right after Knicks lose a finals game? Also, yes. Fans shouldn't have to feel threatened by other fans. At the end of the day, it's just a game.",Analysis,
Preach Chuckster.,Reaction,
Knicks PR went downhill so fast after game 3 lol...,Analysis,
"I said whoever threw that, your moms a hoe",Reaction,
Based,Reaction,
Ain’t that the truth,Reaction,
"I mean, facts, man spitting truth.",Reaction,
And this from a man who has been making fun of San Antonio for decades...,Analysis,
100%,Reaction,
Happy he called the parents scum... Parents and family members should be stepping up...,Hot Take,
That’s the right way to insult someone. Scums raise scums who in turn raise scums.,Hot Take,
"mf played against kobe, ai, shai, luka, d wade and wayy more and the hardest to guard was a 10 year old",Hot Take,
"The question was ""on any level of basketball"" and LeBron was an 7-8 year old...",Analysis,
Think 7-8 years old LeBron vs 10 years old Tarver before all the puberty...,Analysis,
Our best friend’s kid wanted to play his uncles one on one... I dunked on him...,Reaction,
He's pissing people off no matter what he says here. This is a fun and diplomatic way to answer.,Analysis,
Dude he’s talking about used to play in the Swedish league and absolutely cooked folks...,Analysis,
Wonder what Bam would put up in Swedish league,Hot Take,
"Fun fact, the most points ever scored by one person in one game is 272 points in Sweden",Analysis,
This dude lol…,Reaction,
He's basically saying he doesn't feel like he's been dominated on the court since he was 8 years lol,Analysis,
Lebron or Jordan….. or Tarver,Hot Take,
"Jackson, Tyson, Tarver, game 6",Hot Take,
He knew before Tarver was born that he was going to be the best he’d ever see on the court,Hot Take,
You guys are constantly on a mission to prove nobody on this sub has any comprehension skills...,Hot Take,
Guarding someone bigger and stronger than him as a kid is probably a core memory and experience...,Analysis,
People will make fun of Bill but I get it. Brown has been there for 8 years? They’ve won a title with him and Tatum. It’s cool as a fan to have people long term on your team and be those all time guys. I get why Celtics fans right now are feeling some type of way.,Analysis,
10 years.,Reaction,
hes gonna remember these,reaction,
I think the most important point is he doesn't want to ship out derrick white too...,Analysis,
Who is their Brook Lopez?,Discussion Question,
I was initially upset over the Kawhi/Derozan trade...,Analysis,
"Also being real here, even if you believe the Knicks are a major issue... This team could make the finals again easily. It doesn't need to be broken up",Hot Take,
My fear is we offer what Shams said we offered for KD in 2022: Brown + White + a 1st,Hot Take,
I don't think there's any way white is in the trade.,Hot Take,
Man would be a crazy overpay.,Hot Take,
What is the deal with D White being included? Haven’t seen that reported before...,Discussion Question,
It was Lowe throwing out a hypothetical to ask how much Simmons would include in addition to JB.,Analysis,
Not to mention his level of shot blocking at PG is completely irreplaceable...,Analysis,
The Spurs were broken mentally at this point after the 30 point collapse.,Hot Take,
he was in Mitch’s head and saw all the missed free throws,Hot Take,
he usually closes his eyes and takes longer before each free throw and i noticed he didnt do that...,Analysis,
"Absolutely incredible. Despite the adversity, the doubters, the noise, the Spurs just REFUSED to win today.",Reaction,
Somewhere victor is imagining Chet laughing at him.,Reaction,
"Misses the two biggest free throws of his career so far... He’s only 22, plenty of choke left in this young legend",Hot Take,
I’d love to test that out,Reaction,
Even his misses are generational,Reaction,
Self advocated MVP,Hot Take,
Lebron was 2-6 on free throws and 10-30 FGs in a 1 pt loss against the spurs in his first finals at 22,Analysis,
He didn't 0-2 from the foul line in clutch time though,Analysis,
Yeah but his supporting cast was ass. The Spurs already have a pretty good team around Wemby,Hot Take,
Lebron isnt 7’5 and going 9/26 because he wants dumbass pullup shots and floaters...,Hot Take,
Choke Monsieur,Reaction,
Buddhist monks will forever be known going forward as chokers who can't handle pressure.,Hot Take,
Chris Duarte jumpscare,Reaction,
Guy was elite for 2 months,Hot Take,
Pacers fans have PTSD at seeing that name.,Reaction,
"McNair doesn’t get enough hate, he deserves a lot more for his horrific stint",Hot Take,
The Hali/Sabonis trade was dumb but Monte made a million times worse by literally doing nothing after the OG beam team,Analysis,
"""As of now, the Kings have just three more 2nd round picks..."" ???",Analysis,
Godawful writing lmao,Hot Take,
"To be fair to them, shouldn’t it be three month rental of Jonas and then also 41 minutes of Dario Saric?",Hot Take,
Vibes kings fans. No fans in the league I’d like to see more success for honestly,Reaction,
this guy keeps posting on the kings sub then on here... what does this even matter?...,Hot Take,
Love the Kings just getting collateral for a trade from the Hawks-OKC LOL,Reaction,
"I really, really thought Chris Duarte was going to be something after his rookie year lol",Reaction,
"I don't think the girl in grey knew what was happening, but she sure was loud. 😆",Reaction,
Heartbreaking: The worst best person you know just made an great point evil gesture (making children watch the knicks),Hot Take,
"Kinda miss when political news had some unifying, good-natured fun sprinkled in amidst the heavier stuff...",Analysis,
Oh wow now the government is getting involved with kids bedtimes?!?...,Hot Take,
"so, a lot of politicians let kids stay up late - there’s an entire list of them.",Analysis,
Wemby needs to finish this series in 4 so that kids can get their 8-9 hours of sleep,Reaction,
Who was alive in 1999 lmao,Reaction,
What a monster. Impeach him now. /s,Hot Take,
As a Spurs fan all I can say to this is… there’s a 7’5” monster under all of their beds...,Reaction,
The mayor is karma farming. I love it.,Hot Take,
New York Times: Mayor Mamdani Seeks to Limit Parental Rights,Analysis,
How sweet now Chet can watch his father on national television!,Hot Take,
Trump will send the national guard,Hot Take,
"Thanks, Obama!",Reaction,
"""Communist mayor tells parents how raise their kids."" - The New York Post",Analysis,
one of the earliest memories i have of paying attention to sports was getting to stay up late with my dad...,Reaction,
"Man I’m a Spurs fan, but Mamdani is the shit.",Hot Take,
Now they get to stay up and learn what true sports disappointment means.,Hot Take,
You sure about that?,Discussion Question,
Funny thing is I can't tell if you're a trae stan or hater from this comment,Reaction,
We gotta be able to question a team paying $200m+/4 to a player that didn’t have a huge trade market 6 months with being considered a hater lol,Analysis,
Brooklyn has a ton of money and no incentive to tank next year...,Analysis,
"With the Nets, I do wonder if adding another guard...",Analysis,
I'd call that bluff,Hot Take,
Wiz should have just let themselves shoot their foot instead.,Hot Take,
"Congratulations, happy for you, enjoy your max should’ve been the answer",Hot Take,
Pure spin. I don't think he gets that on the open market.,Analysis,
"ya, no way people are overstating the value of mid players...",Analysis,
Still doesn't make it any less stupid...,Hot Take,
And he isn’t the best shooter.,Analysis,
sports front offices are filled with the same retreads...,Hot Take,
Corporate execs and politicians: They just like us!,Reaction,